ma_GeV	xitau_BelleII
0.010608183551394488	0.8646535029500377
0.011762857085047242	0.8237387069571019
0.012852107780323266	0.7659678234751846
0.01446293419661791	0.6951927961775612
0.016275654480267545	0.6464371632490071
0.01831557311676063	0.6158482110660273
0.01971840556512644	0.5867067065993103
0.022854638641349907	0.5324953129837536
0.024970997860065423	0.5197439870872015
0.028942661247167517	0.4832930238571757
0.03162277660168381	0.46042393767587886
0.0345510729459222	0.42813323987194
0.03719742017979821	0.42813323987194
0.04004645731836127	0.40787427589690217
0.04440541134268034	0.37926901907322536
0.048517390671283946	0.3526699214174663
0.05379838403443687	0.33598182862837844
0.0596541999615364	0.3200834046599771
0.06812920690579612	0.30493728293872646
0.0789652286849973	0.2767612370754231
0.08886238162743407	0.27013381211330073
0.1	0.2573512700016912
0.11590510483144822	0.23930257311804995
0.1363375183559744	0.22797894356435672
0.1557068404753731	0.21199020238496116
0.18047217668271703	0.1924024182760241
0.20611166144016724	0.1789087489923221
0.21	nan
0.2851860021506476	0.07838460410979085
0.3611538988740124	0.08952061908580031
0.4440541134268032	0.09357370945630178
0.5459834609733822	0.1092600861117379
0.6614740641230146	0.11420689062920007
0.8254041852680181	0.12478254704700233
1.0299603658099898	0.13043213867190068
1.2478254704700207	0.13938972755249326
1.5570684047537302	0.14570066651001284
1.8864314387358385	0.1627565448026756
2.2854638641349885	0.1900404953882231
2.8100752424979154	0.20763840890834584
3.3054513475732414	0.24244620170823308
